person_id,start_time_s,end_time_s,duration_s,total_distance_px,average_speed_px_per_s
1,0.0,6.67,6.67,467.99,70.16
2,0.0,4.54,4.54,435.29,95.88
3,0.0,22.19,22.19,516.73,23.29
4,0.0,3.74,3.74,494.02,132.09
5,2.4,22.99,20.59,906.97,44.05
6,2.67,17.92,15.25,1265.4,82.98
7,3.2,26.49,23.29,1386.13,59.52
8,4.54,24.86,20.32,344.66,16.96
9,5.34,17.38,12.04,676.7,56.2
10,5.61,21.12,15.51,1199.29,77.32
11,9.08,14.18,5.1,780.62,153.06
12,11.48,26.49,15.01,1355.98,90.34
13,11.48,20.32,8.84,604.65,68.4
14,13.08,26.49,13.41,542.11,40.43
15,14.18,26.49,12.31,241.77,19.64
16,17.38,25.66,8.28,203.62,24.59
17,19.52,24.06,4.54,53.99,11.89
18,20.85,26.49,5.64,933.53,165.52
19,21.92,26.49,4.57,732.13,160.2
