sample_index,frame,time_s,track_id,x_center,y_center,person_id
1,0,0.0,1,775,392,1
1,0,0.0,2,364,403,2
1,0,0.0,3,1083,384,3
1,0,0.0,4,115,415,4
2,8,0.27,1,799,394,1
2,8,0.27,2,383,412,2
2,8,0.27,3,1104,387,3
2,8,0.27,4,127,419,4
3,16,0.53,1,825,376,1
3,16,0.53,2,413,410,2
3,16,0.53,3,1131,375,3
3,16,0.53,4,155,424,4
4,24,0.8,1,863,382,1
4,24,0.8,2,435,415,2
4,24,0.8,3,1156,389,3
4,24,0.8,4,197,431,4
5,32,1.07,1,910,383,1
5,32,1.07,2,464,420,2
5,32,1.07,3,1165,390,3
5,32,1.07,4,251,431,4
6,40,1.33,1,942,396,1
6,40,1.33,2,498,430,2
6,40,1.33,3,1168,398,3
6,40,1.33,4,303,441,4
7,48,1.6,1,963,402,1
7,48,1.6,2,539,429,2
7,48,1.6,3,1180,404,3
7,48,1.6,4,346,439,4
8,56,1.87,1,979,411,1
8,56,1.87,2,577,434,2
8,56,1.87,3,1196,411,3
8,56,1.87,4,372,446,4
9,64,2.14,1,1008,410,1
9,64,2.14,2,601,433,2
9,64,2.14,3,1198,417,3
9,64,2.14,4,402,448,4
10,72,2.4,1,1023,420,1
10,72,2.4,2,625,436,2
10,72,2.4,3,1197,420,3
10,72,2.4,4,436,450,4
10,72,2.4,14,914,508,5
11,80,2.67,1,1034,419,1
11,80,2.67,2,653,443,2
11,80,2.67,3,1203,429,3
11,80,2.67,4,466,452,4
11,80,2.67,14,914,506,5
11,80,2.67,15,194,461,6
12,88,2.94,1,1054,427,1
12,88,2.94,2,677,439,2
12,88,2.94,3,1215,429,3
12,88,2.94,4,500,463,4
12,88,2.94,14,915,509,5
12,88,2.94,15,258,453,6
13,96,3.2,1,1076,426,1
13,96,3.2,2,695,437,2
13,96,3.2,3,1227,435,3
13,96,3.2,4,522,481,4
13,96,3.2,14,913,506,5
13,96,3.2,15,316,442,6
13,96,3.2,17,99,409,7
14,104,3.47,1,1089,431,1
14,104,3.47,2,711,437,2
14,104,3.47,3,1236,433,3
14,104,3.47,4,562,482,4
14,104,3.47,14,911,509,5
14,104,3.47,15,398,429,6
14,104,3.47,17,100,485,7
15,112,3.74,1,1101,431,1
15,112,3.74,2,728,449,2
15,112,3.74,3,1245,439,3
15,112,3.74,4,597,480,4
15,112,3.74,14,908,503,5
15,112,3.74,15,461,419,6
15,112,3.74,17,145,496,7
16,120,4.0,1,1115,439,1
16,120,4.0,2,755,451,2
16,120,4.0,3,1267,438,3
16,120,4.0,14,905,505,5
16,120,4.0,15,550,401,6
16,120,4.0,17,229,486,7
17,128,4.27,1,1133,438,1
17,128,4.27,2,774,465,2
17,128,4.27,3,1284,443,3
17,128,4.27,14,898,507,5
17,128,4.27,15,635,401,6
17,128,4.27,17,286,469,7
18,136,4.54,1,1152,443,1
18,136,4.54,2,784,468,2
18,136,4.54,3,1294,444,3
18,136,4.54,14,892,510,5
18,136,4.54,15,609,420,6
18,136,4.54,17,358,451,7
18,136,4.54,22,1064,491,8
19,144,4.8,1,1160,443,1
19,144,4.8,3,1302,444,3
19,144,4.8,14,886,509,5
19,144,4.8,15,659,412,6
19,144,4.8,17,417,449,7
19,144,4.8,22,1062,488,8
20,152,5.07,1,1168,446,1
20,152,5.07,3,1310,442,3
20,152,5.07,15,788,402,6
20,152,5.07,17,466,450,7
20,152,5.07,22,1061,489,8
21,160,5.34,1,1182,445,1
21,160,5.34,3,1319,445,3
21,160,5.34,15,885,389,6
21,160,5.34,17,505,452,7
21,160,5.34,22,1054,487,8
21,160,5.34,23,667,373,9
22,168,5.61,1,1193,449,1
22,168,5.61,3,1321,449,3
22,168,5.61,15,965,395,6
22,168,5.61,17,539,448,7
22,168,5.61,22,1056,485,8
22,168,5.61,23,737,380,9
22,168,5.61,24,99,414,10
23,176,5.87,1,1191,450,1
23,176,5.87,3,1320,448,3
23,176,5.87,15,1013,381,6
23,176,5.87,17,569,452,7
23,176,5.87,23,768,373,9
23,176,5.87,24,129,431,10
24,184,6.14,1,1198,453,1
24,184,6.14,3,1322,455,3
24,184,6.14,15,1052,393,6
24,184,6.14,17,594,453,7
24,184,6.14,23,800,382,9
24,184,6.14,24,197,432,10
25,192,6.41,1,1202,454,1
25,192,6.41,3,1329,451,3
25,192,6.41,15,1095,398,6
25,192,6.41,17,615,454,7
25,192,6.41,23,846,386,9
25,192,6.41,24,256,444,10
26,200,6.67,1,1210,466,1
26,200,6.67,3,1334,457,3
26,200,6.67,15,1133,404,6
26,200,6.67,17,630,460,7
26,200,6.67,23,877,397,9
26,200,6.67,24,304,446,10
27,208,6.94,3,1333,459,3
27,208,6.94,15,1156,411,6
27,208,6.94,17,640,461,7
27,208,6.94,23,878,394,9
27,208,6.94,24,342,454,10
28,216,7.21,3,1332,463,3
28,216,7.21,15,1173,419,6
28,216,7.21,17,650,465,7
28,216,7.21,23,889,402,9
